,Metric,only_ct,only_llava,ct_llava
0,lpips,"mean: 0.30, CoV: 0.5922","mean: 0.25, CoV: 0.6922","mean: 0.16, CoV: 0.8784"
1,fid,"mean: 7.50, CoV: 1.0873","mean: 8.87, CoV: 0.9202","mean: 8.46, CoV: 0.9575"
2,hps,"mean: 0.19, CoV: 0.1706","mean: 0.20, CoV: 0.1745","mean: 0.20, CoV: 0.1669"
3,ssim,"mean: 0.56, CoV: 0.2820","mean: 0.59, CoV: 0.2832","mean: 0.67, CoV: 0.2004"
4,clip,"mean: 24.11, CoV: 0.1288","mean: 23.49, CoV: 0.1463","mean: 23.16, CoV: 0.1426"
5,dir_sim,"mean: 0.04, CoV: 1.1262","mean: 0.04, CoV: 1.3786","mean: 0.03, CoV: 1.3085"
6,s_vis,"mean: 0.14, CoV: 0.8604","mean: 0.09, CoV: 1.7393","mean: 0.09, CoV: 1.5741"
